# x_m, elev_m
8.214499299299299082e+02,2.788060986224319549e+03
8.230543243243242841e+02,2.788549551040924143e+03
8.246587187187186601e+02,2.789023913010483284e+03
8.262631131131130360e+02,2.789458315824850160e+03
8.278675075075075256e+02,2.789892718639217037e+03
8.294719019019019015e+02,2.790325766887458030e+03
8.310762962962962774e+02,2.790751403095830028e+03
8.326806906906906534e+02,2.791177039304202026e+03
8.342850850850850293e+02,2.791603214698146985e+03
8.358894794794794052e+02,2.792114627704942450e+03
8.374938738738738948e+02,2.792626040711737460e+03
8.390982682682682707e+02,2.793137453718532470e+03
8.407026626626626467e+02,2.793605990922673300e+03
8.423070570570570226e+02,2.794072550716889054e+03
8.439114514514513985e+02,2.794539110511104809e+03
8.455158458458457744e+02,2.794986849309564150e+03
8.471202402402402640e+02,2.795430034565566984e+03
8.487246346346346400e+02,2.795873219821570274e+03
8.503290290290290159e+02,2.796348037836710319e+03
8.519334234234233918e+02,2.796838520435157534e+03
8.535378178178177677e+02,2.797329003033604749e+03
8.551422122122121436e+02,2.797803307847626002e+03
8.567466066066066332e+02,2.798265399284480736e+03
8.583510010010010092e+02,2.798727490721335471e+03
8.599553953953953851e+02,2.799164356922147817e+03
8.615597897897897610e+02,2.799573364057146136e+03
8.631641841841841369e+02,2.799982371192144001e+03
8.647685785785785129e+02,2.800405811761992936e+03
8.663729729729730025e+02,2.800856574786707370e+03
8.679773673673673784e+02,2.801307337811421803e+03
8.695817617617617543e+02,2.801764217819640635e+03
8.711861561561561302e+02,2.802240487677465808e+03
8.727905505505505062e+02,2.802716757535290981e+03
8.743949449449448821e+02,2.803195208207566793e+03
8.759993393393393717e+02,2.803695617482468606e+03
8.776037337337337476e+02,2.804196026757370419e+03
8.792081281281281235e+02,2.804682043707485718e+03
8.808125225225224995e+02,2.805099130638437600e+03
8.824169169169168754e+02,2.805516217569389028e+03
8.840213113113112513e+02,2.805933304500340910e+03
8.856257057057056272e+02,2.806493884624599559e+03
8.872301001001001168e+02,2.807064277009543730e+03
8.888344944944944928e+02,2.807634669394487446e+03
8.904388888888888687e+02,2.808169055566637780e+03
8.920432832832832446e+02,2.808700333183772273e+03
8.936476776776776205e+02,2.809231610800906765e+03
8.952520720720719964e+02,2.809726758690097995e+03
8.968564664664664861e+02,2.810212646282463993e+03
8.984608608608608620e+02,2.810698533874829536e+03
9.000652552552552379e+02,2.811111149051191660e+03
9.016696496496496138e+02,2.811490577694922194e+03
9.032740440440439897e+02,2.811870006338652729e+03
9.048784384384383657e+02,2.812171777177663444e+03
9.064828328328328553e+02,2.812428142786799981e+03
9.080872272272272312e+02,2.812684508395936518e+03
9.096916216216216071e+02,2.812980962588734656e+03
9.112960160160159830e+02,2.813310282283080141e+03
9.129004104104103590e+02,2.813639601977425627e+03
9.145048048048047349e+02,2.813929947227211414e+03
9.161091991991992245e+02,2.814166876353503994e+03
9.177135935935936004e+02,2.814403805479796574e+03
9.193179879879879763e+02,2.814610698959125330e+03
9.209223823823823523e+02,2.814747022172890865e+03
9.225267767767767282e+02,2.814883345386656856e+03
9.241311711711711041e+02,2.815033482474369976e+03
9.257355655655655937e+02,2.815233278574086853e+03
9.273399599599599696e+02,2.815433074673803731e+03
9.289443543543543456e+02,2.815632869188845689e+03
